Umsatzanzeige;Kontokorrent Mueller Praezisionstechnik GmbH (fiktiv)
Zeitraum;01.01.2025 - 31.12.2025

Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Begünstigter/Zahlungspflichtiger;Betrag;Saldo;Währung
28.07.2025;28.07.2025;Gutschrift;Zahlung Kunde RE-45420;Kunde Gmbh;21.300,15;-356.588,17;EUR
25.07.2025;25.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.350,34;-377.888,32;EUR
25.07.2025;25.07.2025;Gutschrift;Zahlung Kunde RE-78703;Kunde Gmbh;26.485,14;-351.537,98;EUR
24.07.2025;24.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.459,01;-378.023,12;EUR
24.07.2025;24.07.2025;Gutschrift;Zahlung Kunde RE-64104;Kunde Gmbh;37.489,73;-343.564,11;EUR
23.07.2025;23.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.164,78;-381.053,84;EUR
23.07.2025;23.07.2025;Gutschrift;Zahlung Kunde RE-12632;Kunde Gmbh;21.064,26;-361.889,06;EUR
22.07.2025;22.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.621,23;-382.953,32;EUR
22.07.2025;22.07.2025;Gutschrift;Zahlung Kunde RE-84660;Kunde Gmbh;26.049,16;-363.332,09;EUR
21.07.2025;21.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-7.318,73;-389.381,25;EUR
21.07.2025;21.07.2025;Gutschrift;Zahlung Kunde RE-41342;Kunde Gmbh;17.732,83;-382.062,52;EUR
18.07.2025;18.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-14.728,13;-399.795,35;EUR
18.07.2025;18.07.2025;Gutschrift;Zahlung Kunde RE-82859;Kunde Gmbh;20.240,85;-385.067,22;EUR
17.07.2025;17.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.685,03;-405.308,07;EUR
17.07.2025;17.07.2025;Gutschrift;Zahlung Kunde RE-21890;Kunde Gmbh;20.772,21;-383.623,04;EUR
16.07.2025;16.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.138,41;-404.395,25;EUR
16.07.2025;16.07.2025;Gutschrift;Zahlung Kunde RE-81799;Kunde Gmbh;27.822,69;-379.256,84;EUR
15.07.2025;15.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.490,13;-407.079,53;EUR
15.07.2025;15.07.2025;Gutschrift;Zahlung Kunde RE-68977;Kunde Gmbh;42.187,78;-371.589,40;EUR
14.07.2025;14.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.756,73;-413.777,18;EUR
14.07.2025;14.07.2025;Gutschrift;Zahlung Kunde RE-69373;Kunde Gmbh;31.511,60;-397.020,45;EUR
11.07.2025;11.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.678,62;-428.532,05;EUR
11.07.2025;11.07.2025;Gutschrift;Zahlung Kunde RE-75152;Kunde Gmbh;30.018,14;-401.853,43;EUR
10.07.2025;10.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-18.356,60;-431.871,57;EUR
10.07.2025;10.07.2025;Gutschrift;Zahlung Kunde RE-37246;Kunde Gmbh;19.849,71;-413.514,97;EUR
09.07.2025;09.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.497,01;-433.364,68;EUR
09.07.2025;09.07.2025;Gutschrift;Zahlung Kunde RE-94306;Kunde Gmbh;18.592,28;-410.867,67;EUR
08.07.2025;08.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.983,76;-429.459,95;EUR
08.07.2025;08.07.2025;Gutschrift;Zahlung Kunde RE-61690;Kunde Gmbh;31.719,65;-400.476,19;EUR
07.07.2025;07.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-12.705,36;-432.195,84;EUR
07.07.2025;07.07.2025;Gutschrift;Zahlung Kunde RE-73331;Kunde Gmbh;22.159,95;-419.490,48;EUR
04.07.2025;04.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.730,56;-441.650,43;EUR
04.07.2025;04.07.2025;Gutschrift;Zahlung Kunde RE-95982;Kunde Gmbh;22.805,07;-424.919,87;EUR
03.07.2025;03.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.891,63;-447.724,94;EUR
03.07.2025;03.07.2025;Gutschrift;Zahlung Kunde RE-95566;Kunde Gmbh;23.933,16;-431.833,31;EUR
02.07.2025;02.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.916,17;-455.766,47;EUR
02.07.2025;02.07.2025;Gutschrift;Zahlung Kunde RE-46929;Kunde Gmbh;27.446,00;-430.850,30;EUR
01.07.2025;01.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-13.100,68;-458.296,30;EUR
01.07.2025;01.07.2025;Gutschrift;Zahlung Kunde RE-71890;Kunde Gmbh;18.819,34;-445.195,62;EUR
30.06.2025;30.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.803,87;-464.014,96;EUR
30.06.2025;30.06.2025;Gutschrift;Zahlung Kunde RE-82103;Kunde Gmbh;29.567,25;-436.211,09;EUR
27.06.2025;27.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.461,68;-465.778,34;EUR
27.06.2025;27.06.2025;Gutschrift;Zahlung Kunde RE-47513;Kunde Gmbh;34.334,72;-437.316,66;EUR
26.06.2025;26.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.388,12;-471.651,38;EUR
26.06.2025;26.06.2025;Gutschrift;Zahlung Kunde RE-28162;Kunde Gmbh;28.525,81;-439.263,26;EUR
25.06.2025;25.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.220,18;-467.789,07;EUR
25.06.2025;25.06.2025;Gutschrift;Zahlung Kunde RE-63855;Kunde Gmbh;16.484,28;-452.568,89;EUR
24.06.2025;24.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.216,47;-469.053,17;EUR
24.06.2025;24.06.2025;Gutschrift;Zahlung Kunde RE-20561;Kunde Gmbh;31.476,84;-439.836,70;EUR
23.06.2025;23.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.304,75;-471.313,54;EUR
23.06.2025;23.06.2025;Gutschrift;Zahlung Kunde RE-82633;Kunde Gmbh;27.001,25;-450.008,79;EUR
20.06.2025;20.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.746,14;-477.010,04;EUR
20.06.2025;20.06.2025;Gutschrift;Zahlung Kunde RE-92692;Kunde Gmbh;41.528,00;-444.263,90;EUR
19.06.2025;19.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.217,20;-485.791,90;EUR
19.06.2025;19.06.2025;Gutschrift;Zahlung Kunde RE-66065;Kunde Gmbh;38.554,28;-447.574,70;EUR
18.06.2025;18.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.577,17;-486.128,98;EUR
18.06.2025;18.06.2025;Gutschrift;Zahlung Kunde RE-58935;Kunde Gmbh;20.695,47;-461.551,81;EUR
17.06.2025;17.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-23.726,07;-482.247,28;EUR
17.06.2025;17.06.2025;Gutschrift;Zahlung Kunde RE-51366;Kunde Gmbh;28.087,22;-458.521,21;EUR
16.06.2025;16.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.938,45;-486.608,43;EUR
16.06.2025;16.06.2025;Gutschrift;Zahlung Kunde RE-44829;Kunde Gmbh;22.479,74;-469.669,98;EUR
13.06.2025;13.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.823,12;-492.149,72;EUR
13.06.2025;13.06.2025;Gutschrift;Zahlung Kunde RE-29518;Kunde Gmbh;34.048,90;-460.326,60;EUR
12.06.2025;12.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-44.416,87;-494.375,50;EUR
12.06.2025;12.06.2025;Gutschrift;Zahlung Kunde RE-47437;Kunde Gmbh;40.040,28;-449.958,63;EUR
11.06.2025;11.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.695,66;-489.998,91;EUR
11.06.2025;11.06.2025;Gutschrift;Zahlung Kunde RE-16765;Kunde Gmbh;23.419,13;-465.303,25;EUR
10.06.2025;10.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.439,04;-488.722,38;EUR
10.06.2025;10.06.2025;Gutschrift;Zahlung Kunde RE-16326;Kunde Gmbh;37.669,69;-450.283,34;EUR
09.06.2025;09.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-10.933,85;-487.953,03;EUR
09.06.2025;09.06.2025;Gutschrift;Zahlung Kunde RE-66105;Kunde Gmbh;17.292,02;-477.019,18;EUR
06.06.2025;06.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.886,25;-494.311,20;EUR
06.06.2025;06.06.2025;Gutschrift;Zahlung Kunde RE-87224;Kunde Gmbh;26.786,98;-472.424,95;EUR
05.06.2025;05.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.152,81;-499.211,93;EUR
05.06.2025;05.06.2025;Gutschrift;Zahlung Kunde RE-18516;Kunde Gmbh;22.596,37;-472.059,12;EUR
04.06.2025;04.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.558,55;-494.655,49;EUR
04.06.2025;04.06.2025;Gutschrift;Zahlung Kunde RE-47988;Kunde Gmbh;36.390,71;-453.096,94;EUR
03.06.2025;03.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.275,25;-489.487,65;EUR
03.06.2025;03.06.2025;Gutschrift;Zahlung Kunde RE-35656;Kunde Gmbh;43.196,43;-457.212,40;EUR
02.06.2025;02.06.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-44.420,94;-500.408,83;EUR
02.06.2025;02.06.2025;Gutschrift;Zahlung Kunde RE-25734;Kunde Gmbh;40.173,32;-455.987,89;EUR
30.05.2025;30.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.669,96;-496.161,21;EUR
30.05.2025;30.05.2025;Gutschrift;Zahlung Kunde RE-54338;Kunde Gmbh;15.052,24;-479.491,25;EUR
29.05.2025;29.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.395,88;-494.543,49;EUR
29.05.2025;29.05.2025;Gutschrift;Zahlung Kunde RE-53427;Kunde Gmbh;24.482,34;-472.147,61;EUR
28.05.2025;28.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.203,51;-496.629,95;EUR
28.05.2025;28.05.2025;Gutschrift;Zahlung Kunde RE-59296;Kunde Gmbh;27.485,44;-468.426,44;EUR
27.05.2025;27.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.861,35;-495.911,88;EUR
27.05.2025;27.05.2025;Gutschrift;Zahlung Kunde RE-28442;Kunde Gmbh;24.058,53;-466.050,53;EUR
26.05.2025;26.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.580,56;-490.109,06;EUR
26.05.2025;26.05.2025;Gutschrift;Zahlung Kunde RE-63139;Kunde Gmbh;35.447,64;-446.528,50;EUR
23.05.2025;23.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-7.863,34;-481.976,14;EUR
23.05.2025;23.05.2025;Gutschrift;Zahlung Kunde RE-74447;Kunde Gmbh;15.107,71;-474.112,80;EUR
22.05.2025;22.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.293,34;-489.220,51;EUR
22.05.2025;22.05.2025;Gutschrift;Zahlung Kunde RE-30849;Kunde Gmbh;26.822,42;-457.927,17;EUR
21.05.2025;21.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.414,86;-484.749,59;EUR
21.05.2025;21.05.2025;Gutschrift;Zahlung Kunde RE-73719;Kunde Gmbh;29.936,64;-453.334,73;EUR
20.05.2025;20.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.740,49;-483.271,37;EUR
20.05.2025;20.05.2025;Gutschrift;Zahlung Kunde RE-40327;Kunde Gmbh;36.100,11;-446.530,88;EUR
19.05.2025;19.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.666,07;-482.630,99;EUR
19.05.2025;19.05.2025;Gutschrift;Zahlung Kunde RE-24768;Kunde Gmbh;30.262,33;-438.964,92;EUR
16.05.2025;16.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-10.961,63;-469.227,25;EUR
16.05.2025;16.05.2025;Gutschrift;Zahlung Kunde RE-92794;Kunde Gmbh;18.978,15;-458.265,62;EUR
15.05.2025;15.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.171,76;-477.243,77;EUR
15.05.2025;15.05.2025;Gutschrift;Zahlung Kunde RE-57127;Kunde Gmbh;22.854,27;-448.072,01;EUR
14.05.2025;14.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-18.454,70;-470.926,28;EUR
14.05.2025;14.05.2025;Gutschrift;Zahlung Kunde RE-78690;Kunde Gmbh;19.252,22;-452.471,58;EUR
13.05.2025;13.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-20.269,50;-471.723,80;EUR
13.05.2025;13.05.2025;Gutschrift;Zahlung Kunde RE-21836;Kunde Gmbh;17.238,39;-451.454,30;EUR
12.05.2025;12.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.343,33;-468.692,69;EUR
12.05.2025;12.05.2025;Gutschrift;Zahlung Kunde RE-37618;Kunde Gmbh;21.295,12;-437.349,36;EUR
09.05.2025;09.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.430,76;-458.644,48;EUR
09.05.2025;09.05.2025;Gutschrift;Zahlung Kunde RE-60704;Kunde Gmbh;44.819,01;-413.213,72;EUR
08.05.2025;08.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-42.969,10;-458.032,73;EUR
08.05.2025;08.05.2025;Gutschrift;Zahlung Kunde RE-68910;Kunde Gmbh;39.596,93;-415.063,63;EUR
07.05.2025;07.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.871,91;-454.660,56;EUR
07.05.2025;07.05.2025;Gutschrift;Zahlung Kunde RE-20022;Kunde Gmbh;23.687,67;-429.788,65;EUR
06.05.2025;06.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.970,81;-453.476,32;EUR
06.05.2025;06.05.2025;Gutschrift;Zahlung Kunde RE-12294;Kunde Gmbh;43.087,63;-407.505,51;EUR
05.05.2025;05.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.195,08;-450.593,14;EUR
05.05.2025;05.05.2025;Gutschrift;Zahlung Kunde RE-21253;Kunde Gmbh;20.977,50;-416.398,06;EUR
02.05.2025;02.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.097,29;-437.375,56;EUR
02.05.2025;02.05.2025;Gutschrift;Zahlung Kunde RE-81968;Kunde Gmbh;38.015,09;-396.278,27;EUR
01.05.2025;01.05.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.012,27;-434.293,36;EUR
01.05.2025;01.05.2025;Gutschrift;Zahlung Kunde RE-71124;Kunde Gmbh;28.939,89;-397.281,09;EUR
30.04.2025;30.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.433,50;-426.220,98;EUR
30.04.2025;30.04.2025;Gutschrift;Zahlung Kunde RE-47426;Kunde Gmbh;36.266,13;-385.787,48;EUR
29.04.2025;29.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.421,78;-422.053,61;EUR
29.04.2025;29.04.2025;Gutschrift;Zahlung Kunde RE-48123;Kunde Gmbh;35.271,23;-384.631,83;EUR
28.04.2025;28.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.780,77;-419.903,06;EUR
28.04.2025;28.04.2025;Gutschrift;Zahlung Kunde RE-38533;Kunde Gmbh;17.985,57;-393.122,29;EUR
25.04.2025;25.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.265,99;-411.107,86;EUR
25.04.2025;25.04.2025;Gutschrift;Zahlung Kunde RE-98080;Kunde Gmbh;29.573,94;-378.841,87;EUR
24.04.2025;24.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-17.561,76;-408.415,81;EUR
24.04.2025;24.04.2025;Gutschrift;Zahlung Kunde RE-17950;Kunde Gmbh;15.374,08;-390.854,05;EUR
23.04.2025;23.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.160,98;-406.228,13;EUR
23.04.2025;23.04.2025;Gutschrift;Zahlung Kunde RE-27490;Kunde Gmbh;33.634,52;-367.067,15;EUR
22.04.2025;22.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.133,17;-400.701,67;EUR
22.04.2025;22.04.2025;Gutschrift;Zahlung Kunde RE-49900;Kunde Gmbh;34.546,03;-359.568,50;EUR
21.04.2025;21.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-23.336,68;-394.114,53;EUR
21.04.2025;21.04.2025;Gutschrift;Zahlung Kunde RE-43284;Kunde Gmbh;19.422,75;-370.777,85;EUR
18.04.2025;18.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.403,47;-390.200,60;EUR
18.04.2025;18.04.2025;Gutschrift;Zahlung Kunde RE-88604;Kunde Gmbh;20.948,70;-370.797,13;EUR
17.04.2025;17.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.035,14;-391.745,83;EUR
17.04.2025;17.04.2025;Gutschrift;Zahlung Kunde RE-94248;Kunde Gmbh;33.509,22;-351.710,69;EUR
16.04.2025;16.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-30.943,23;-385.219,91;EUR
16.04.2025;16.04.2025;Gutschrift;Zahlung Kunde RE-16127;Kunde Gmbh;23.619,58;-354.276,68;EUR
15.04.2025;15.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.508,50;-377.896,26;EUR
15.04.2025;15.04.2025;Gutschrift;Zahlung Kunde RE-99613;Kunde Gmbh;29.370,30;-346.387,76;EUR
14.04.2025;14.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-46.671,33;-375.758,06;EUR
14.04.2025;14.04.2025;Gutschrift;Zahlung Kunde RE-20058;Kunde Gmbh;40.365,94;-329.086,73;EUR
11.04.2025;11.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-47.240,73;-369.452,67;EUR
11.04.2025;11.04.2025;Gutschrift;Zahlung Kunde RE-74742;Kunde Gmbh;44.272,05;-322.211,94;EUR
10.04.2025;10.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.837,29;-366.483,99;EUR
10.04.2025;10.04.2025;Gutschrift;Zahlung Kunde RE-95187;Kunde Gmbh;21.922,08;-331.646,70;EUR
09.04.2025;09.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.188,48;-353.568,78;EUR
09.04.2025;09.04.2025;Gutschrift;Zahlung Kunde RE-36898;Kunde Gmbh;36.880,05;-314.380,30;EUR
08.04.2025;08.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.223,47;-351.260,35;EUR
08.04.2025;08.04.2025;Gutschrift;Zahlung Kunde RE-40773;Kunde Gmbh;40.384,01;-314.036,88;EUR
07.04.2025;07.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.746,69;-354.420,89;EUR
07.04.2025;07.04.2025;Gutschrift;Zahlung Kunde RE-19758;Kunde Gmbh;22.565,81;-316.674,20;EUR
04.04.2025;04.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.757,75;-339.240,01;EUR
04.04.2025;04.04.2025;Gutschrift;Zahlung Kunde RE-72109;Kunde Gmbh;37.371,84;-299.482,26;EUR
03.04.2025;03.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.406,21;-336.854,10;EUR
03.04.2025;03.04.2025;Gutschrift;Zahlung Kunde RE-18657;Kunde Gmbh;34.778,98;-298.447,89;EUR
02.04.2025;02.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.718,62;-333.226,87;EUR
02.04.2025;02.04.2025;Gutschrift;Zahlung Kunde RE-22051;Kunde Gmbh;41.935,73;-292.508,25;EUR
01.04.2025;01.04.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.447,06;-334.443,98;EUR
01.04.2025;01.04.2025;Gutschrift;Zahlung Kunde RE-75925;Kunde Gmbh;38.930,93;-293.996,92;EUR
31.03.2025;31.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.914,22;-332.927,85;EUR
31.03.2025;31.03.2025;Gutschrift;Zahlung Kunde RE-69893;Kunde Gmbh;22.913,79;-303.013,63;EUR
28.03.2025;28.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.103,47;-325.927,42;EUR
28.03.2025;28.03.2025;Gutschrift;Zahlung Kunde RE-74132;Kunde Gmbh;35.419,93;-289.823,95;EUR
27.03.2025;27.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.463,21;-325.243,88;EUR
27.03.2025;27.03.2025;Gutschrift;Zahlung Kunde RE-79657;Kunde Gmbh;15.565,22;-308.780,67;EUR
26.03.2025;26.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.650,82;-324.345,89;EUR
26.03.2025;26.03.2025;Gutschrift;Zahlung Kunde RE-92282;Kunde Gmbh;31.755,82;-282.695,07;EUR
25.03.2025;25.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.923,84;-314.450,89;EUR
25.03.2025;25.03.2025;Gutschrift;Zahlung Kunde RE-69164;Kunde Gmbh;26.298,55;-294.527,05;EUR
24.03.2025;24.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.489,32;-320.825,60;EUR
24.03.2025;24.03.2025;Gutschrift;Zahlung Kunde RE-23751;Kunde Gmbh;25.821,22;-284.336,28;EUR
21.03.2025;21.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-12.732,10;-310.157,50;EUR
21.03.2025;21.03.2025;Gutschrift;Zahlung Kunde RE-93508;Kunde Gmbh;16.255,86;-297.425,40;EUR
20.03.2025;20.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.293,96;-313.681,26;EUR
20.03.2025;20.03.2025;Gutschrift;Zahlung Kunde RE-14084;Kunde Gmbh;21.898,22;-282.387,30;EUR
19.03.2025;19.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.825,54;-304.285,52;EUR
19.03.2025;19.03.2025;Gutschrift;Zahlung Kunde RE-94264;Kunde Gmbh;43.682,33;-262.459,98;EUR
18.03.2025;18.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.155,28;-306.142,31;EUR
18.03.2025;18.03.2025;Gutschrift;Zahlung Kunde RE-99508;Kunde Gmbh;38.939,02;-266.987,03;EUR
17.03.2025;17.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-47.776,55;-305.926,05;EUR
17.03.2025;17.03.2025;Gutschrift;Zahlung Kunde RE-86554;Kunde Gmbh;39.792,27;-258.149,50;EUR
14.03.2025;14.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.687,68;-297.941,77;EUR
14.03.2025;14.03.2025;Gutschrift;Zahlung Kunde RE-12107;Kunde Gmbh;40.048,13;-256.254,09;EUR
13.03.2025;13.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-30.769,22;-296.302,22;EUR
13.03.2025;13.03.2025;Gutschrift;Zahlung Kunde RE-84511;Kunde Gmbh;37.586,01;-265.533,00;EUR
12.03.2025;12.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.178,96;-303.119,01;EUR
12.03.2025;12.03.2025;Gutschrift;Zahlung Kunde RE-78649;Kunde Gmbh;19.179,23;-275.940,05;EUR
11.03.2025;11.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.181,21;-295.119,28;EUR
11.03.2025;11.03.2025;Gutschrift;Zahlung Kunde RE-76262;Kunde Gmbh;33.819,96;-262.938,07;EUR
10.03.2025;10.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.753,50;-296.758,03;EUR
10.03.2025;10.03.2025;Gutschrift;Zahlung Kunde RE-77237;Kunde Gmbh;39.745,71;-256.004,53;EUR
07.03.2025;07.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.952,36;-295.750,24;EUR
07.03.2025;07.03.2025;Gutschrift;Zahlung Kunde RE-15739;Kunde Gmbh;34.296,58;-259.797,88;EUR
06.03.2025;06.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.710,63;-294.094,46;EUR
06.03.2025;06.03.2025;Gutschrift;Zahlung Kunde RE-91095;Kunde Gmbh;19.483,89;-274.383,83;EUR
05.03.2025;05.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.765,94;-293.867,72;EUR
05.03.2025;05.03.2025;Gutschrift;Zahlung Kunde RE-74774;Kunde Gmbh;36.620,32;-256.101,78;EUR
04.03.2025;04.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.923,00;-292.722,10;EUR
04.03.2025;04.03.2025;Gutschrift;Zahlung Kunde RE-52747;Kunde Gmbh;26.685,49;-270.799,10;EUR
03.03.2025;03.03.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.876,66;-297.484,59;EUR
03.03.2025;03.03.2025;Gutschrift;Zahlung Kunde RE-88192;Kunde Gmbh;34.726,31;-258.607,93;EUR
28.02.2025;28.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.918,75;-293.334,24;EUR
28.02.2025;28.02.2025;Gutschrift;Zahlung Kunde RE-30349;Kunde Gmbh;43.729,12;-251.415,49;EUR
27.02.2025;27.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-13.666,12;-295.144,61;EUR
27.02.2025;27.02.2025;Gutschrift;Zahlung Kunde RE-86753;Kunde Gmbh;21.984,29;-281.478,49;EUR
26.02.2025;26.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.501,34;-303.462,78;EUR
26.02.2025;26.02.2025;Gutschrift;Zahlung Kunde RE-92532;Kunde Gmbh;23.989,38;-274.961,44;EUR
25.02.2025;25.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-11.207,17;-298.950,82;EUR
25.02.2025;25.02.2025;Gutschrift;Zahlung Kunde RE-12948;Kunde Gmbh;16.250,01;-287.743,65;EUR
24.02.2025;24.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.240,16;-303.993,66;EUR
24.02.2025;24.02.2025;Gutschrift;Zahlung Kunde RE-86913;Kunde Gmbh;19.315,95;-288.753,50;EUR
21.02.2025;21.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.628,95;-308.069,45;EUR
21.02.2025;21.02.2025;Gutschrift;Zahlung Kunde RE-21764;Kunde Gmbh;17.725,55;-281.440,50;EUR
20.02.2025;20.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-12.589,87;-299.166,05;EUR
20.02.2025;20.02.2025;Gutschrift;Zahlung Kunde RE-10648;Kunde Gmbh;22.445,38;-286.576,18;EUR
19.02.2025;19.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-33.727,43;-309.021,56;EUR
19.02.2025;19.02.2025;Gutschrift;Zahlung Kunde RE-36342;Kunde Gmbh;30.082,92;-275.294,13;EUR
